TpRxns,TpMets,kcat,A,TpMets_MW,TpRxns_MW,TpRxns_Sense
AmmoniaTRANS,Ammonia,1.37E-22,3.91E-17,1.70E+01,5.07E+04,-1.00E+00
OrthophosphateTRANS,Orthophosphate,3.18E-22,4.17E-17,9.80E+01,5.07E+04,-1.00E+00
NitrateTRANS,Nitrate,8.19E-22,5.67E-17,6.30E+01,5.07E+04,-1.00E+00
NitriteTRANS,Nitrite,6.77E-22,2.00E-16,4.61E+01,5.07E+04,-1.00E+00
