  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     1.0  25.815  35.200  214.14  0.0936  0.4809  88.676      15  2222233
     2.0  25.814  35.200  213.74  0.0941  0.3057  92.648     217  2222233
     3.0  25.814  35.200  213.39  0.0943  0.2783  93.281     243  2222233
     4.0  25.811  35.199  212.61  0.0971  0.2664  93.556     108  2222222
     5.0  25.808  35.199  213.02  0.0942  0.2659  93.569      86  2222222
     6.0  25.809  35.199  212.69  0.0890  0.2665  93.556      37  2222222
     7.0  25.811  35.199  213.15  0.0956  0.2658  93.571     129  2222222
     8.0  25.815  35.199  213.00  0.1040  0.2658  93.570      58  2222222
     9.0  25.815  35.199  212.89  0.0917  0.2662  93.562     128  2222222
    10.0  25.814  35.199  212.96  0.1019  0.2661  93.564      63  2222222
    11.0  25.815  35.199  213.10  0.0936  0.2675  93.531      31  2222222
    12.0  25.813  35.199  212.66  0.0879  0.2668  93.548     160  2222222
    13.0  25.817  35.199  212.17  0.0976  0.2659  93.569      32  2222222
    14.0  25.815  35.199  213.31  0.0953  0.2671  93.541      93  2222222
    15.0  25.816  35.199  213.20  0.0933  0.2660  93.565      98  2222222
    16.0  25.814  35.199  212.92  0.0933  0.2657  93.573      34  2222222
    17.0  25.813  35.199  212.78  0.0936  0.2657  93.573     171  2222222
    18.0  25.818  35.199  212.85  0.0936  0.2671  93.541      25  2222222
    19.0  25.814  35.199  212.83  0.0871  0.2659  93.569      89  2222222
    20.0  25.811  35.199  212.96  0.0932  0.2658  93.570     114  2222222
    21.0  25.811  35.199  212.98  0.0933  0.2656  93.576      32  2222222
    22.0  25.805  35.198  213.25  0.0936  0.2661  93.563      38  2222222
    23.0  25.805  35.198  212.81  0.0952  0.2667  93.550     163  2222222
    24.0  25.805  35.198  213.20  0.0934  0.2663  93.559      43  2222222
    25.0  25.809  35.198  212.85  0.0936  0.2664  93.557      40  2222222
    26.0  25.809  35.198  212.86  0.0965  0.2662  93.563      98  2222222
    27.0  25.797  35.198  212.49  0.0934  0.2665  93.556      46  2222222
    28.0  25.791  35.197  213.26  0.0935  0.2664  93.557      62  2222222
    29.0  25.788  35.197  212.85  0.1008  0.2663  93.560     119  2222222
    30.0  25.778  35.196  214.99  0.0895  0.2667  93.550      36  2222222
    31.0  25.708  35.189  216.31  0.0879  0.2669  93.545      28  2222222
    32.0  25.457  35.170  217.12  0.1016  0.2756  93.343     118  2222222
    33.0  25.282  35.153  219.43  0.1080  0.2767  93.316      61  2222222
    34.0  25.142  35.142  219.54  0.1174  0.2806  93.225      38  2222222
    35.0  25.122  35.140  219.82  0.1359  0.2797  93.248      75  2222222
    36.0  25.100  35.139  219.43  0.1284  0.2810  93.216      46  2222222
    37.0  25.081  35.139  219.77  0.1340  0.2808  93.221     102  2222222
    38.0  25.066  35.137  220.28  0.1347  0.2812  93.212      66  2222222
    39.0  25.041  35.136  220.69  0.1399  0.2823  93.185      49  2222222
    40.0  25.042  35.139  219.93  0.1320  0.2779  93.288      52  2222222
    41.0  25.039  35.139  219.44  0.1342  0.2745  93.367      98  2222222
    42.0  25.003  35.134  220.55  0.1284  0.2772  93.304      72  2222222
    43.0  24.965  35.131  220.99  0.1399  0.2799  93.242      57  2222222
    44.0  24.944  35.130  220.88  0.1430  0.2827  93.177      96  2222222
    45.0  24.912  35.125  221.24  0.1478  0.2824  93.184      35  2222222
    46.0  24.842  35.127  221.18  0.1399  0.2827  93.176      32  2222222
    47.0  24.778  35.127  221.58  0.1453  0.2773  93.301     158  2222222
    48.0  24.692  35.123  223.13  0.1306  0.2756  93.343      30  2222222
    49.0  24.654  35.116  223.17  0.1284  0.2749  93.357      36  2222222
    50.0  24.612  35.109  222.42  0.1382  0.2751  93.353     100  2222222
    51.0  24.606  35.129  222.65  0.1436  0.2748  93.360      81  2222222
    52.0  24.560  35.131  222.97  0.1399  0.2744  93.370      37  2222222
    53.0  24.554  35.130  222.79  0.1513  0.2720  93.426     141  2222222
    54.0  24.546  35.129  222.65  0.1438  0.2719  93.428      36  2222222
    55.0  24.524  35.128  222.82  0.1393  0.2717  93.433      21  2222222
    56.0  24.536  35.128  222.44  0.1337  0.2707  93.455      97  2222222
    57.0  24.502  35.129  222.33  0.1399  0.2702  93.467     109  2222222
    58.0  24.491  35.129  223.04  0.1399  0.2697  93.479      21  2222222
    59.0  24.469  35.129  222.48  0.1403  0.2694  93.487      59  2222222
    60.0  24.440  35.128  223.00  0.1465  0.2691  93.495     124  2222222
    61.0  24.406  35.130  223.12  0.1514  0.2687  93.505      28  2222222
    62.0  24.399  35.131  222.56  0.1539  0.2694  93.488      76  2222222
    63.0  24.388  35.135  222.49  0.1637  0.2687  93.504     122  2222222
    64.0  24.381  35.139  221.82  0.1542  0.2683  93.512      25  2222222
    65.0  24.379  35.140  222.03  0.1484  0.2688  93.501      34  2222222
    66.0  24.370  35.140  222.83  0.1537  0.2685  93.507     165  2222222
    67.0  24.323  35.140  223.00  0.1514  0.2682  93.516      23  2222222
    68.0  24.223  35.136  223.19  0.1514  0.2688  93.501      24  2222222
    69.0  24.213  35.136  222.95  0.1661  0.2688  93.502     153  2222222
    70.0  24.185  35.136  223.49  0.1678  0.2689  93.500      38  2222222
    71.0  24.177  35.135  223.24  0.1654  0.2691  93.495      37  2222222
    72.0  24.170  35.134  223.18  0.1784  0.2690  93.498     146  2222222
    73.0  24.147  35.133  223.73  0.1710  0.2698  93.477      36  2222222
    74.0  24.121  35.132  223.43  0.1698  0.2710  93.449      34  2222222
    75.0  24.094  35.134  223.55  0.1861  0.2700  93.474     140  2222222
    76.0  24.042  35.139  223.79  0.1883  0.2696  93.482      51  2222222
    77.0  23.975  35.136  223.76  0.1745  0.2695  93.485      41  2222222
    78.0  23.913  35.140  224.33  0.1964  0.2703  93.465      87  2222222
