  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     1.0  25.954  35.293  213.52  0.0738  0.3007  92.759      29  2222233
     2.0  25.953  35.293  213.12  0.0802  0.2963  92.864     121  2222233
     3.0  25.952  35.293  212.98  0.0815  0.2706  93.459     153  2222233
     4.0  25.950  35.291  212.49  0.0821  0.2664  93.558     166  2222222
     5.0  25.936  35.290  212.60  0.0821  0.2657  93.572      24  2222222
     6.0  25.942  35.291  211.96  0.0821  0.2650  93.590      26  2222222
     7.0  25.940  35.290  212.09  0.0820  0.2650  93.590     156  2222222
     8.0  25.931  35.289  212.65  0.0821  0.2646  93.600      41  2222222
     9.0  25.927  35.287  212.43  0.0821  0.2649  93.591      35  2222222
    10.0  25.918  35.286  211.95  0.0819  0.2660  93.567      60  2222222
    11.0  25.897  35.283  212.86  0.0821  0.2650  93.589     101  2222222
    12.0  25.840  35.277  212.10  0.0767  0.2705  93.460      49  2222222
    13.0  25.817  35.276  212.94  0.0817  0.2651  93.586     111  2222222
    14.0  25.803  35.276  212.95  0.0821  0.2678  93.524      38  2222222
    15.0  25.782  35.278  211.75  0.0818  0.2660  93.567      41  2222222
    16.0  25.771  35.278  212.93  0.0821  0.2652  93.584     108  2222222
    17.0  25.759  35.280  212.95  0.0820  0.2650  93.590      92  2222222
    18.0  25.756  35.283  212.57  0.0821  0.2655  93.577      50  2222222
    19.0  25.748  35.288  213.70  0.0761  0.2662  93.562      46  2222222
    20.0  25.715  35.292  213.34  0.0818  0.2660  93.567      76  2222222
    21.0  25.642  35.293  214.23  0.0821  0.2664  93.557      54  2222222
    22.0  25.583  35.292  214.92  0.0914  0.2687  93.504     139  2222222
    23.0  25.501  35.290  216.75  0.0936  0.2693  93.491      32  2222222
    24.0  25.186  35.273  219.47  0.0936  0.2713  93.444      35  2222222
    25.0  24.839  35.259  221.80  0.0935  0.2733  93.396      80  2222222
    26.0  24.310  35.237  225.35  0.1015  0.2745  93.369     145  2222222
    27.0  24.004  35.223  227.49  0.1011  0.2742  93.374      43  2222222
    28.0  23.380  35.206  231.86  0.1015  0.2755  93.344      28  2222222
    29.0  23.150  35.196  231.70  0.1052  0.2753  93.348      32  2222222
    30.0  23.043  35.186  231.36  0.1081  0.2766  93.318     174  2222222
    31.0  22.852  35.186  232.52  0.1060  0.2770  93.310      42  2222222
    32.0  22.797  35.187  232.84  0.1058  0.2770  93.310      42  2222222
    33.0  22.733  35.185  233.03  0.1168  0.2780  93.287      52  2222222
    34.0  22.674  35.188  232.31  0.1136  0.2787  93.270     100  2222222
    35.0  22.595  35.207  231.92  0.1130  0.2779  93.288      71  2222222
    36.0  22.544  35.216  233.09  0.1271  0.2792  93.258      87  2222222
    37.0  22.505  35.217  233.53  0.1214  0.2784  93.276      46  2222222
    38.0  22.432  35.216  233.73  0.1168  0.2796  93.249      36  2222222
    39.0  22.354  35.214  233.38  0.1166  0.2798  93.244     165  2222222
    40.0  22.311  35.212  233.72  0.1171  0.2803  93.234      40  2222222
    41.0  22.245  35.212  234.27  0.1168  0.2810  93.217      26  2222222
    42.0  22.191  35.209  233.79  0.1168  0.2805  93.228      33  2222222
    43.0  22.088  35.205  234.52  0.1166  0.2800  93.240     140  2222222
    44.0  21.942  35.201  234.61  0.1165  0.2802  93.236      46  2222222
    45.0  21.881  35.199  234.39  0.1194  0.2814  93.207      82  2222222
    46.0  21.876  35.198  234.61  0.1304  0.2807  93.224      90  2222222
    47.0  21.859  35.198  234.67  0.1182  0.2812  93.211      25  2222222
    48.0  21.853  35.197  234.27  0.1193  0.2809  93.217      80  2222222
    49.0  21.832  35.198  234.72  0.1221  0.2806  93.225     126  2222222
    50.0  21.808  35.197  235.03  0.1280  0.2802  93.236      28  2222222
    51.0  21.726  35.189  236.12  0.1314  0.2803  93.233      34  2222222
    52.0  21.537  35.173  236.87  0.1380  0.2815  93.204      60  2222222
    53.0  21.514  35.166  236.93  0.1320  0.2822  93.189     128  2222222
    54.0  21.392  35.160  236.24  0.1284  0.2829  93.172      40  2222222
    55.0  21.296  35.152  237.60  0.1396  0.2835  93.159     108  2222222
    56.0  21.167  35.142  237.91  0.1436  0.2827  93.177      34  2222222
    57.0  21.077  35.133  238.91  0.1311  0.2838  93.151      34  2222222
    58.0  20.971  35.123  238.88  0.1448  0.2824  93.183     180  2222222
    59.0  20.744  35.105  239.33  0.1394  0.2819  93.195      23  2222222
    60.0  20.579  35.099  239.54  0.1399  0.2813  93.210      21  2222222
    61.0  20.580  35.098  239.18  0.1437  0.2802  93.235      70  2222222
    62.0  20.526  35.095  239.64  0.1477  0.2805  93.229      97  2222222
    63.0  20.426  35.088  239.71  0.1541  0.2805  93.229     106  2222222
    64.0  20.272  35.077  239.78  0.1612  0.2799  93.243      46  2222222
    65.0  20.111  35.068  239.10  0.1557  0.2802  93.235      30  2222222
    66.0  19.925  35.051  239.77  0.1604  0.2796  93.249      36  2222222
    67.0  19.886  35.045  239.72  0.1763  0.2791  93.259     169  2222222
    68.0  19.739  35.029  240.03  0.1654  0.2796  93.250      33  2222222
    69.0  19.738  35.028  239.42  0.1771  0.2809  93.218      32  2222222
    70.0  19.705  35.022  240.53  0.1876  0.2803  93.233      70  2222222
    71.0  19.676  35.019  240.47  0.1926  0.2802  93.235     130  2222222
    72.0  19.579  35.005  240.86  0.1745  0.2802  93.236      22  2222222
    73.0  19.549  35.002  239.89  0.1832  0.2794  93.254      81  2222222
    74.0  19.411  34.994  240.48  0.1952  0.2804  93.230     109  2222222
    75.0  19.364  34.991  240.54  0.1909  0.2796  93.250      24  2222222
    76.0  19.312  34.983  240.32  0.1976  0.2789  93.265      25  2222222
    77.0  19.243  34.980  240.53  0.2044  0.2783  93.280     145  2222222
    78.0  19.121  34.981  239.99  0.2105  0.2776  93.295      60  2222222
