  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
    85.0  23.198  35.169  220.66  0.2187  0.2711  93.447      29  2222222
    86.0  23.216  35.167  220.90  0.2360  0.2711  93.446     149  2222222
    87.0  23.188  35.168  220.95  0.2356  0.2715  93.437      24  2222222
    88.0  23.166  35.170  220.09  0.2163  0.2706  93.459      24  2222222
    89.0  23.168  35.169  220.49  0.2320  0.2694  93.488     170  2222222
    90.0  23.167  35.168  220.11  0.2296  0.2701  93.469      26  2222222
    91.0  23.096  35.172  219.15  0.2157  0.2697  93.479      23  2222222
    92.0  23.038  35.173  218.89  0.2369  0.2689  93.499      35  2222222
    93.0  23.082  35.171  220.03  0.2519  0.2677  93.528     150  2222222
    94.0  23.005  35.174  218.06  0.2468  0.2683  93.514      35  2222222
    95.0  22.962  35.176  217.63  0.2393  0.2686  93.505      28  2222222
    96.0  22.966  35.175  218.67  0.2450  0.2681  93.517     149  2222222
    97.0  22.912  35.179  217.54  0.2413  0.2677  93.526      27  2222222
    98.0  22.811  35.184  216.65  0.2464  0.2676  93.529      32  2222222
    99.0  22.746  35.190  216.48  0.2751  0.2661  93.564     114  2222222
   100.0  22.727  35.190  215.94  0.3026  0.2660  93.567      57  2222222
   101.0  22.697  35.192  215.62  0.2794  0.2660  93.566      37  2222222
   102.0  22.678  35.193  215.40  0.2873  0.2656  93.576     123  2222222
   103.0  22.645  35.193  215.50  0.3006  0.2655  93.577      38  2222222
   104.0  22.605  35.195  214.63  0.2781  0.2658  93.571      32  2222222
   105.0  22.562  35.196  213.91  0.3201  0.2668  93.548      56  2222222
   106.0  22.560  35.195  214.30  0.3406  0.2662  93.562     127  2222222
   107.0  22.451  35.198  212.84  0.3348  0.2671  93.540      36  2222222
   108.0  22.407  35.200  212.66  0.3686  0.2672  93.539      40  2222222
   109.0  22.386  35.199  212.89  0.4120  0.2677  93.526     129  2222222
   110.0  22.357  35.200  213.39  0.4249  0.2680  93.521      47  2222222
   111.0  22.331  35.201  212.66  0.4199  0.2687  93.504      35  2222222
   112.0  22.241  35.207  213.34  0.4617  0.2685  93.508      45  2222222
   113.0  22.235  35.208  213.42  0.4846  0.2694  93.487     133  2222222
   114.0  22.202  35.210  214.22  0.4970  0.2686  93.506      41  2222222
   115.0  22.181  35.211  213.55  0.5165  0.2692  93.493      31  2222222
   116.0  22.167  35.212  213.80  0.5081  0.2694  93.487     146  2222222
   117.0  22.158  35.213  214.67  0.5345  0.2679  93.522      35  2222222
   118.0  22.131  35.217  215.20  0.4867  0.2677  93.526      30  2222222
   119.0  22.085  35.220  214.89  0.5082  0.2676  93.528      38  2222222
   120.0  22.076  35.220  215.00  0.5476  0.2684  93.511     152  2222222
   121.0  22.050  35.220  215.07  0.5397  0.2681  93.518      32  2222222
   122.0  22.026  35.219  214.17  0.5500  0.2688  93.502      33  2222222
   123.0  22.000  35.220  215.29  0.5880  0.2705  93.461     125  2222222
   124.0  21.961  35.225  217.10  0.6389  0.2698  93.478      37  2222222
   125.0  21.838  35.231  217.78  0.6204  0.2707  93.455      33  2222222
   126.0  21.796  35.233  217.86  0.7077  0.2707  93.455     131  2222222
   127.0  21.737  35.236  218.97  0.7531  0.2706  93.459      51  2222222
   128.0  21.682  35.241  220.05  0.6879  0.2703  93.465      37  2222222
   129.0  21.655  35.241  219.98  0.6772  0.2697  93.481      43  2222222
   130.0  21.639  35.241  219.56  0.6939  0.2686  93.506     131  2222222
   131.0  21.616  35.242  220.46  0.6717  0.2687  93.504      35  2222222
   132.0  21.606  35.242  220.37  0.6163  0.2688  93.502      31  2222222
   133.0  21.583  35.244  220.27  0.6435  0.2685  93.509     116  2222222
   134.0  21.555  35.245  220.84  0.6808  0.2677  93.526      51  2222222
   135.0  21.533  35.246  221.29  0.6266  0.2673  93.535      41  2222222
   136.0  21.493  35.246  220.82  0.6295  0.2666  93.554      90  2222222
   137.0  21.428  35.248  221.40  0.6202  0.2656  93.576      71  2222222
   138.0  21.350  35.248  222.12  0.6259  0.2653  93.582      54  2222222
   139.0  21.294  35.249  221.80  0.5275  0.2637  93.621      48  2222222
   140.0  21.283  35.248  221.64  0.5379  0.2632  93.631     104  2222222
   141.0  21.263  35.248  222.45  0.4783  0.2629  93.637      33  2222222
   142.0  21.234  35.249  223.15  0.4730  0.2623  93.652      40  2222222
   143.0  21.196  35.253  223.22  0.4893  0.2620  93.660     143  2222222
   144.0  21.138  35.257  223.49  0.4610  0.2623  93.653      26  2222222
   145.0  21.122  35.258  223.03  0.3909  0.2609  93.684      27  2222222
   146.0  21.132  35.257  223.04  0.3998  0.2600  93.707     159  2222222
   147.0  21.102  35.256  222.75  0.4025  0.2599  93.709      24  2222222
   148.0  21.025  35.259  222.29  0.3527  0.2596  93.716      21  2222222
   149.0  21.072  35.256  223.10  0.3491  0.2568  93.782     105  2222222
   150.0  20.992  35.258  222.88  0.3419  0.2558  93.805      93  2222222
   151.0  20.938  35.259  222.12  0.3294  0.2560  93.799      19  2222222
   152.0  20.994  35.255  222.44  0.3134  0.2544  93.837      55  2222222
   153.0  20.947  35.257  222.41  0.2888  0.2522  93.889     125  2222222
   154.0  20.897  35.258  222.09  0.2831  0.2523  93.886      45  2222222
   155.0  20.849  35.256  221.63  0.2724  0.2525  93.883      21  2222222
   156.0  20.857  35.256  222.02  0.2478  0.2500  93.942      55  2222222
   157.0  20.845  35.256  222.09  0.2651  0.2492  93.959     125  2222222
   158.0  20.794  35.255  221.36  0.2554  0.2492  93.960      24  2222222
   159.0  20.771  35.256  221.03  0.2100  0.2484  93.980      27  2222222
   160.0  20.757  35.255  220.99  0.2089  0.2455  94.046      68  2222222
   161.0  20.740  35.254  220.98  0.2213  0.2448  94.065      55  2222222
   162.0  20.723  35.254  221.00  0.1904  0.2440  94.083      32  2222222
   163.0  20.720  35.254  220.62  0.1750  0.2442  94.078      25  2222222
   164.0  20.715  35.254  220.34  0.1639  0.2442  94.077      24  2222222
   165.0  20.697  35.253  219.31  0.1630  0.2439  94.086      25  2222222
   166.0  20.678  35.252  219.25  0.1525  0.2437  94.090      32  2222222
   167.0  20.654  35.252  219.95  0.1598  0.2436  94.091      57  2222222
   168.0  20.639  35.251  219.25  0.1859  0.2426  94.115      60  2222222
   169.0  20.628  35.250  219.18  0.1553  0.2423  94.122      30  2222222
   170.0  20.618  35.250  219.30  0.1302  0.2424  94.119      18  2222222
   171.0  20.596  35.248  219.21  0.1236  0.2426  94.115      17  2222222
   172.0  20.565  35.248  218.99  0.1168  0.2425  94.116      16  2222222
   173.0  20.556  35.248  218.97  0.1155  0.2422  94.124      18  2222222
   174.0  20.548  35.247  218.92  0.1110  0.2416  94.139      22  2222222
   175.0  20.547  35.247  218.20  0.1217  0.2409  94.155      80  2222222
   176.0  20.543  35.246  219.03  0.1389  0.2412  94.149      43  2222222
   177.0  20.531  35.245  219.50  0.1238  0.2405  94.162      23  2222222
   178.0  20.519  35.244  219.25  0.1052  0.2405  94.164      19  2222222
   179.0  20.497  35.242  218.85  0.1052  0.2409  94.155      16  2222222
   180.0  20.472  35.241  218.08  0.1052  0.2412  94.148      19  2222222
   181.0  20.452  35.240  217.55  0.1052  0.2403  94.168      22  2222222
   182.0  20.435  35.239  217.39  0.1052  0.2404  94.165      27  2222222
   183.0  20.426  35.238  217.27  0.1052  0.2398  94.180      36  2222222
