  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     2.0  26.172  35.084  211.55  0.0551  0.3347  91.974      41  2222233
     3.0  26.172  35.084  212.11  0.0629  0.2808  93.221      33  2222233
     4.0  26.168  35.084  211.75  0.0592  0.2701  93.469      66  2222222
     5.0  26.169  35.084  211.75  0.0679  0.2702  93.468     110  2222222
     6.0  26.159  35.084  212.44  0.0781  0.2708  93.453      23  2222222
     7.0  26.159  35.084  211.67  0.0747  0.2702  93.468      84  2222222
     8.0  26.154  35.084  211.18  0.0744  0.2712  93.446      64  2222222
     9.0  26.155  35.084  211.79  0.0701  0.2709  93.450      48  2222222
    10.0  26.152  35.084  211.51  0.0706  0.2715  93.437      39  2222222
    11.0  26.152  35.084  211.33  0.0764  0.2708  93.452     134  2222222
    12.0  26.153  35.084  212.20  0.0813  0.2708  93.453      26  2222222
    13.0  26.148  35.084  212.13  0.0821  0.2711  93.447      27  2222222
    14.0  26.147  35.085  210.82  0.0764  0.2708  93.452      85  2222222
    15.0  26.125  35.092  211.80  0.0796  0.2713  93.443      58  2222222
    16.0  26.104  35.098  212.25  0.0814  0.2721  93.424      72  2222222
    17.0  26.061  35.111  212.54  0.0814  0.2724  93.416      34  2222222
    18.0  26.029  35.121  212.80  0.0863  0.2733  93.397      88  2222222
    19.0  25.952  35.144  214.15  0.0882  0.2742  93.376      70  2222222
    20.0  25.877  35.164  214.35  0.0883  0.2749  93.359      49  2222222
    21.0  25.789  35.186  214.39  0.0896  0.2750  93.357      31  2222222
    22.0  25.788  35.187  214.58  0.0843  0.2713  93.443     122  2222222
    23.0  25.783  35.188  214.33  0.0882  0.2717  93.433      42  2222222
    24.0  25.782  35.188  214.26  0.0817  0.2711  93.447      32  2222222
    25.0  25.783  35.189  214.74  0.0889  0.2711  93.446     134  2222222
    26.0  25.778  35.192  214.53  0.0933  0.2710  93.450      33  2222222
    27.0  25.767  35.194  213.27  0.0933  0.2714  93.440      34  2222222
    28.0  25.758  35.193  214.23  0.0897  0.2732  93.398      85  2222222
    29.0  25.735  35.195  214.93  0.0934  0.2726  93.413      43  2222222
    30.0  25.721  35.195  214.93  0.1006  0.2716  93.436      84  2222222
    31.0  25.705  35.195  213.94  0.0936  0.2705  93.461      53  2222222
    32.0  25.692  35.194  215.07  0.0930  0.2706  93.457      69  2222222
    33.0  25.683  35.193  213.85  0.0931  0.2711  93.447      41  2222222
    34.0  25.673  35.193  215.48  0.0934  0.2703  93.464      74  2222222
    35.0  25.651  35.189  215.69  0.0934  0.2698  93.477      77  2222222
    36.0  25.598  35.182  217.68  0.1010  0.2735  93.392      39  2222222
    37.0  25.531  35.174  218.17  0.1052  0.2708  93.454      42  2222222
    38.0  25.455  35.169  217.75  0.1051  0.2716  93.436     109  2222222
    39.0  25.358  35.176  217.17  0.1110  0.2739  93.381      54  2222222
    40.0  25.335  35.174  217.71  0.1168  0.2747  93.363      44  2222222
    41.0  25.270  35.168  218.76  0.1268  0.2760  93.334      55  2222222
    42.0  25.206  35.162  218.73  0.1169  0.2774  93.299     102  2222222
    43.0  25.123  35.157  219.17  0.1277  0.2785  93.274      37  2222222
    44.0  25.095  35.152  219.73  0.1286  0.2787  93.271      40  2222222
    45.0  25.079  35.150  219.10  0.1341  0.2790  93.262     110  2222222
    46.0  25.053  35.164  219.50  0.1396  0.2802  93.236      39  2222222
    47.0  25.036  35.166  219.18  0.1446  0.2780  93.285      61  2222222
    48.0  24.960  35.164  219.36  0.1423  0.2778  93.290      58  2222222
    49.0  24.889  35.161  220.33  0.1412  0.2746  93.365      99  2222222
    50.0  24.825  35.164  221.22  0.1399  0.2740  93.381      38  2222222
    51.0  24.762  35.163  220.78  0.1397  0.2740  93.380      66  2222222
    52.0  24.711  35.160  221.67  0.1397  0.2742  93.375      59  2222222
    53.0  24.606  35.157  222.31  0.1502  0.2749  93.359      56  2222222
    54.0  24.511  35.161  223.00  0.1534  0.2738  93.384      63  2222222
    55.0  24.478  35.161  222.95  0.1554  0.2730  93.403      81  2222222
    56.0  24.445  35.162  222.71  0.1535  0.2723  93.420      51  2222222
    57.0  24.429  35.161  223.03  0.1553  0.2731  93.401      54  2222222
    58.0  24.383  35.159  224.01  0.1630  0.2729  93.405      57  2222222
    59.0  24.342  35.162  223.69  0.1630  0.2731  93.399      49  2222222
    60.0  24.260  35.169  223.44  0.1650  0.2730  93.402     131  2222222
    61.0  24.206  35.171  223.33  0.1634  0.2728  93.408      27  2222222
    62.0  24.185  35.173  224.19  0.1745  0.2725  93.413      22  2222222
    63.0  24.162  35.172  223.87  0.1660  0.2723  93.419      73  2222222
    64.0  24.138  35.174  223.96  0.1716  0.2725  93.415     101  2222222
    65.0  24.083  35.182  223.92  0.1741  0.2723  93.418      32  2222222
    66.0  24.073  35.188  223.46  0.1826  0.2730  93.402     107  2222222
    67.0  24.041  35.191  223.66  0.1813  0.2732  93.398      51  2222222
    68.0  23.923  35.184  224.17  0.1861  0.2717  93.433      24  2222222
    69.0  23.913  35.182  224.53  0.1886  0.2719  93.429      54  2222222
    70.0  23.918  35.181  224.77  0.1994  0.2722  93.422     115  2222222
    71.0  23.840  35.175  224.97  0.1992  0.2728  93.407      28  2222222
    72.0  23.752  35.176  225.10  0.2008  0.2735  93.392      71  2222222
    73.0  23.669  35.178  225.27  0.2143  0.2729  93.405     121  2222222
    74.0  23.613  35.179  225.30  0.2123  0.2731  93.399      37  2222222
    75.0  23.565  35.184  225.76  0.2018  0.2718  93.431      33  2222222
    76.0  23.498  35.188  225.45  0.2088  0.2708  93.455      39  2222222
    77.0  23.418  35.183  224.94  0.2199  0.2700  93.473     124  2222222
    78.0  23.365  35.178  224.68  0.2175  0.2691  93.494      41  2222222
    79.0  23.257  35.188  224.85  0.2192  0.2699  93.475      31  2222222
