  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     3.0  26.543  35.110  210.36  0.0384  0.2901  93.005      70  2222233
     4.0  26.544  35.110  210.20  0.0551  0.3226  92.263     325  2222233
     5.0  26.546  35.109  210.13  0.0591  0.3400  91.862     366  2222233
     6.0  26.549  35.109  209.75  0.0678  0.4651  89.026      21  2222233
     7.0  26.549  35.110  209.71  0.0601  0.3865  90.791      98  2222233
     8.0  26.548  35.110  210.07  0.0595  0.3883  90.749      89  2222233
     9.0  26.545  35.110  209.88  0.0543  0.4120  90.212      32  2222233
    10.0  26.542  35.111  209.34  0.0590  0.3924  90.657      31  2222233
    11.0  26.543  35.111  209.48  0.0605  0.2974  92.836     119  2222233
    12.0  26.542  35.110  210.06  0.0629  0.2912  92.979      27  2222233
    13.0  26.543  35.110  210.52  0.0655  0.2889  93.034      18  2222233
    14.0  26.543  35.110  210.36  0.0626  0.2914  92.975      48  2222233
    15.0  26.542  35.111  210.15  0.0590  0.2829  93.172     115  2222233
    16.0  26.536  35.110  210.34  0.0590  0.2876  93.062      21  2222233
    17.0  26.530  35.109  210.09  0.0634  0.2785  93.274      16  2222233
    18.0  26.531  35.110  209.32  0.0706  0.2714  93.440      31  2222222
    19.0  26.530  35.109  209.84  0.0624  0.2719  93.428     129  2222222
    20.0  26.516  35.108  209.94  0.0658  0.2711  93.447      32  2222222
    21.0  26.512  35.108  209.27  0.0607  0.2725  93.413      41  2222222
    22.0  26.497  35.110  209.36  0.0640  0.2748  93.360      74  2222222
    23.0  26.486  35.118  210.77  0.0704  0.2762  93.329      53  2222222
    24.0  26.453  35.138  210.92  0.0706  0.2757  93.341      55  2222222
    25.0  26.407  35.158  211.41  0.0796  0.2744  93.371      59  2222222
    26.0  26.297  35.183  212.69  0.0755  0.2736  93.390      45  2222222
    27.0  26.099  35.187  214.49  0.0727  0.2717  93.433      51  2222222
    28.0  25.950  35.183  215.92  0.0734  0.2700  93.472     101  2222222
    29.0  25.766  35.177  217.86  0.0770  0.2712  93.445      27  2222222
    30.0  25.503  35.179  219.82  0.0818  0.2725  93.414      37  2222222
    31.0  25.443  35.179  219.87  0.0820  0.2736  93.388     109  2222222
    32.0  25.311  35.179  220.69  0.0821  0.2738  93.384      30  2222222
    33.0  25.274  35.178  220.42  0.0787  0.2739  93.382      91  2222222
    34.0  25.236  35.178  220.71  0.0821  0.2729  93.405      59  2222222
    35.0  25.204  35.179  220.28  0.0899  0.2732  93.397      49  2222222
    36.0  25.178  35.181  220.64  0.0913  0.2726  93.412      53  2222222
    37.0  25.126  35.188  220.90  0.0886  0.2729  93.406      44  2222222
    38.0  25.042  35.198  222.10  0.0824  0.2704  93.463      48  2222222
    39.0  24.929  35.202  222.29  0.0859  0.2705  93.460      71  2222222
    40.0  24.794  35.205  222.90  0.0918  0.2709  93.451      32  2222222
    41.0  24.574  35.212  224.51  0.0936  0.2731  93.401      34  2222222
    42.0  24.497  35.214  224.23  0.1002  0.2735  93.390      94  2222222
    43.0  24.430  35.216  225.10  0.1052  0.2739  93.383      30  2222222
    44.0  24.382  35.218  224.79  0.1052  0.2738  93.385      25  2222222
    45.0  24.341  35.216  224.57  0.1052  0.2732  93.397      35  2222222
    46.0  24.250  35.209  223.70  0.1052  0.2780  93.286     120  2222222
    47.0  24.158  35.209  224.73  0.1121  0.2734  93.394      44  2222222
    48.0  24.131  35.214  225.51  0.1164  0.2739  93.382      31  2222222
    49.0  24.074  35.223  225.59  0.1168  0.2736  93.388      25  2222222
    50.0  24.017  35.227  225.04  0.1168  0.2722  93.420      32  2222222
    51.0  23.919  35.221  224.90  0.1168  0.2725  93.415     114  2222222
    52.0  23.737  35.214  224.81  0.1206  0.2725  93.413      40  2222222
    53.0  23.699  35.218  225.41  0.1284  0.2732  93.397      37  2222222
    54.0  23.677  35.217  224.90  0.1284  0.2734  93.393      42  2222222
    55.0  23.641  35.214  224.98  0.1365  0.2730  93.402      54  2222222
    56.0  23.620  35.214  225.19  0.1410  0.2728  93.408      72  2222222
    57.0  23.563  35.215  224.68  0.1399  0.2722  93.421      31  2222222
    58.0  23.521  35.217  225.28  0.1500  0.2723  93.419      42  2222222
    59.0  23.476  35.214  225.27  0.1525  0.2718  93.430     100  2222222
    60.0  23.363  35.211  224.65  0.1574  0.2728  93.407      29  2222222
    61.0  23.321  35.210  224.37  0.1585  0.2722  93.422      34  2222222
    62.0  23.291  35.209  223.97  0.1630  0.2728  93.406      84  2222222
    63.0  23.244  35.211  223.71  0.1627  0.2713  93.442      39  2222222
    64.0  23.211  35.215  224.68  0.1732  0.2710  93.450      78  2222222
    65.0  23.076  35.201  222.52  0.1839  0.2707  93.456      42  2222222
    66.0  22.908  35.189  221.65  0.1816  0.2697  93.480      26  2222222
    67.0  22.911  35.192  221.67  0.1869  0.2716  93.436     122  2222222
    68.0  22.862  35.199  222.07  0.1861  0.2707  93.455      21  2222222
    69.0  22.836  35.202  222.21  0.1861  0.2706  93.458      20  2222222
    70.0  22.823  35.206  222.69  0.1967  0.2698  93.478      78  2222222
    71.0  22.798  35.212  222.37  0.2019  0.2696  93.483     101  2222222
    72.0  22.756  35.218  223.01  0.2050  0.2696  93.482      25  2222222
    73.0  22.728  35.224  223.81  0.2069  0.2702  93.468      20  2222222
    74.0  22.696  35.232  224.71  0.2118  0.2700  93.471      26  2222222
    75.0  22.682  35.235  224.45  0.2199  0.2695  93.484     125  2222222
    76.0  22.618  35.241  223.72  0.2309  0.2687  93.503      26  2222222
    77.0  22.578  35.236  223.82  0.2343  0.2685  93.509      34  2222222
    78.0  22.556  35.237  224.09  0.2378  0.2702  93.469      84  2222222
    79.0  22.539  35.238  223.60  0.2438  0.2702  93.469      55  2222222
    80.0  22.492  35.230  222.86  0.2388  0.2674  93.535      37  2222222
