  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     2.0  26.190  35.074  213.00  0.0590  0.3952  90.592       4  2222233
     3.0  26.194  35.074  212.76  0.0713  0.2971  92.844      95  2222233
     4.0  26.196  35.074  212.64  0.0730  0.2761  93.330     262  2222222
     5.0  26.198  35.074  212.09  0.0688  0.2751  93.352     129  2222222
     6.0  26.198  35.074  212.31  0.0690  0.2749  93.358      72  2222222
     7.0  26.198  35.074  212.08  0.0730  0.2747  93.362     116  2222222
     8.0  26.195  35.074  211.73  0.0706  0.2756  93.342      99  2222222
     9.0  26.192  35.074  211.57  0.0756  0.2754  93.347     104  2222222
    10.0  26.193  35.074  212.10  0.0710  0.2749  93.357      74  2222222
    11.0  26.188  35.074  212.43  0.0808  0.2754  93.346      26  2222222
    12.0  26.191  35.074  211.70  0.0725  0.2748  93.361     143  2222222
    13.0  26.190  35.074  210.64  0.0706  0.2749  93.357      26  2222222
    14.0  26.181  35.073  211.59  0.0706  0.2757  93.340      29  2222222
    15.0  26.182  35.073  211.53  0.0779  0.2752  93.351     161  2222222
    16.0  26.162  35.073  210.40  0.0821  0.2760  93.333      34  2222222
    17.0  26.151  35.073  211.97  0.0821  0.2761  93.332      30  2222222
    18.0  26.141  35.072  212.12  0.0821  0.2762  93.328      94  2222222
    19.0  26.115  35.072  211.95  0.0866  0.2774  93.301      61  2222222
    20.0  26.105  35.071  212.13  0.0819  0.2788  93.269      70  2222222
    21.0  26.104  35.071  212.06  0.0894  0.2805  93.229     120  2222222
    22.0  26.099  35.071  211.67  0.0927  0.2788  93.267      25  2222222
    23.0  26.096  35.071  211.27  0.0821  0.2798  93.245      23  2222222
    24.0  26.095  35.071  212.05  0.0875  0.2795  93.251     154  2222222
    25.0  26.086  35.072  212.69  0.0933  0.2797  93.246      31  2222222
    26.0  26.075  35.073  212.93  0.0936  0.2809  93.219      28  2222222
    27.0  26.057  35.073  212.89  0.0954  0.2799  93.243     157  2222222
    28.0  26.013  35.079  214.06  0.0936  0.2800  93.241      33  2222222
    29.0  25.946  35.093  214.64  0.0936  0.2791  93.260      49  2222222
    30.0  25.901  35.104  215.04  0.0936  0.2795  93.252     122  2222222
    31.0  25.762  35.124  215.58  0.0936  0.2805  93.229      58  2222222
    32.0  25.560  35.146  219.08  0.0936  0.2821  93.192      19  2222222
    33.0  25.533  35.147  217.95  0.1102  0.2844  93.138      75  2222222
    34.0  25.471  35.152  217.75  0.1159  0.2836  93.155     126  2222222
    35.0  25.403  35.158  219.36  0.1110  0.2836  93.157      30  2222222
    36.0  25.365  35.166  219.12  0.1078  0.2834  93.160      57  2222222
    37.0  25.358  35.170  219.24  0.1149  0.2847  93.131     118  2222222
    38.0  25.232  35.167  220.41  0.1103  0.2819  93.195      32  2222222
    39.0  25.137  35.165  220.59  0.1140  0.2817  93.200      37  2222222
    40.0  25.087  35.165  220.92  0.1206  0.2833  93.164     157  2222222
    41.0  24.914  35.165  223.15  0.1221  0.2835  93.158      24  2222222
    42.0  24.804  35.168  222.75  0.1365  0.2835  93.157      27  2222222
    43.0  24.789  35.168  223.12  0.1363  0.2844  93.138     152  2222222
    44.0  24.727  35.167  223.71  0.1399  0.2845  93.137      36  2222222
    45.0  24.598  35.167  223.56  0.1397  0.2831  93.167      64  2222222
    46.0  24.517  35.169  223.82  0.1407  0.2827  93.177     105  2222222
    47.0  24.443  35.172  223.97  0.1514  0.2815  93.205      47  2222222
    48.0  24.414  35.175  224.15  0.1514  0.2807  93.224      38  2222222
    49.0  24.385  35.177  224.27  0.1534  0.2817  93.201     141  2222222
    50.0  24.278  35.181  224.60  0.1517  0.2821  93.191      48  2222222
    51.0  24.223  35.182  225.11  0.1630  0.2823  93.187      54  2222222
    52.0  24.148  35.181  225.38  0.1630  0.2817  93.200      36  2222222
    53.0  24.115  35.181  225.52  0.1756  0.2819  93.196     134  2222222
    54.0  23.979  35.185  225.81  0.1776  0.2822  93.188      41  2222222
    55.0  23.913  35.184  226.35  0.1861  0.2815  93.204      65  2222222
    56.0  23.870  35.183  226.68  0.1937  0.2819  93.196      77  2222222
    57.0  23.786  35.182  225.70  0.2013  0.2818  93.197      47  2222222
    58.0  23.683  35.182  226.03  0.2012  0.2817  93.201     125  2222222
    59.0  23.590  35.187  226.44  0.2041  0.2811  93.214      32  2222222
    60.0  23.549  35.189  226.54  0.2109  0.2810  93.216      86  2222222
    61.0  23.536  35.190  226.11  0.2217  0.2808  93.221      47  2222222
    62.0  23.514  35.191  225.96  0.2248  0.2812  93.211      68  2222222
    63.0  23.493  35.192  226.30  0.2245  0.2808  93.221     111  2222222
    64.0  23.449  35.194  226.05  0.2275  0.2807  93.224      63  2222222
    65.0  23.414  35.194  226.07  0.2271  0.2803  93.232      36  2222222
    66.0  23.337  35.197  225.51  0.2398  0.2791  93.261      74  2222222
    67.0  23.302  35.198  226.03  0.2465  0.2792  93.258     104  2222222
    68.0  23.216  35.200  224.45  0.2427  0.2787  93.270      40  2222222
    69.0  23.158  35.200  224.83  0.2428  0.2771  93.307      97  2222222
    70.0  23.104  35.206  224.76  0.2476  0.2767  93.317      55  2222222
    71.0  23.043  35.216  224.44  0.2422  0.2748  93.362      49  2222222
    72.0  22.985  35.217  224.22  0.2502  0.2749  93.357     113  2222222
    73.0  22.898  35.216  224.03  0.2480  0.2730  93.402      39  2222222
    74.0  22.850  35.216  223.48  0.2429  0.2725  93.413      51  2222222
    75.0  22.835  35.216  223.47  0.2509  0.2729  93.405     101  2222222
    76.0  22.771  35.219  222.40  0.2462  0.2723  93.418      29  2222222
    77.0  22.700  35.225  222.54  0.2438  0.2719  93.428      29  2222222
    78.0  22.673  35.225  221.55  0.2614  0.2713  93.442      55  2222222
    79.0  22.646  35.222  221.21  0.2805  0.2716  93.436      61  2222222
