  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     3.0  26.059  35.207  213.57  0.0706  0.2732  93.397      15  2222222
     4.0  26.050  35.207  213.03  0.0642  0.2732  93.399     128  2222222
     5.0  26.050  35.207  212.61  0.0613  0.2735  93.391     106  2222222
     6.0  26.081  35.207  211.53  0.0644  0.2728  93.406      30  2222222
     7.0  26.061  35.208  214.05  0.0602  0.2729  93.405      41  2222222
     8.0  26.053  35.209  213.03  0.0666  0.2738  93.385      81  2222222
     9.0  25.978  35.203  213.24  0.0706  0.2746  93.366      36  2222222
    10.0  25.923  35.200  213.85  0.0627  0.2742  93.374      38  2222222
    11.0  25.908  35.197  214.00  0.0678  0.2743  93.373     112  2222222
    12.0  25.895  35.195  213.93  0.0660  0.2741  93.378      53  2222222
    13.0  25.871  35.191  214.14  0.0691  0.2752  93.351      47  2222222
    14.0  25.851  35.190  213.98  0.0704  0.2756  93.342      61  2222222
    15.0  25.842  35.191  213.94  0.0728  0.2757  93.339     120  2222222
    16.0  25.826  35.190  213.79  0.0706  0.2764  93.322      38  2222222
    17.0  25.818  35.189  214.11  0.0764  0.2764  93.324      47  2222222
    18.0  25.817  35.189  214.10  0.0687  0.2770  93.309     150  2222222
    19.0  25.805  35.188  212.47  0.0709  0.2756  93.343      31  2222222
    20.0  25.804  35.188  213.30  0.0788  0.2751  93.354      31  2222222
    21.0  25.805  35.188  214.46  0.0725  0.2762  93.328     156  2222222
    22.0  25.804  35.188  214.20  0.0706  0.2760  93.334      35  2222222
    23.0  25.802  35.188  213.98  0.0706  0.2764  93.324      34  2222222
    24.0  25.800  35.187  213.75  0.0744  0.2757  93.340     149  2222222
    25.0  25.775  35.186  214.30  0.0728  0.2759  93.335      31  2222222
    26.0  25.744  35.186  214.10  0.0774  0.2779  93.288      32  2222222
    27.0  25.748  35.187  214.52  0.0759  0.2751  93.354     169  2222222
    28.0  25.707  35.186  215.76  0.0821  0.2746  93.365      39  2222222
    29.0  25.416  35.184  219.43  0.0735  0.2754  93.347      35  2222222
    30.0  25.250  35.185  218.45  0.0821  0.2761  93.330      61  2222222
    31.0  25.249  35.183  218.49  0.0819  0.2765  93.321     129  2222222
    32.0  25.231  35.180  218.25  0.0836  0.2769  93.312      75  2222222
    33.0  25.148  35.174  219.35  0.0934  0.2781  93.286      44  2222222
    34.0  25.033  35.172  220.82  0.0882  0.2786  93.273      40  2222222
    35.0  25.014  35.171  220.67  0.0901  0.2777  93.294     178  2222222
    36.0  24.977  35.170  221.50  0.0821  0.2776  93.295      32  2222222
    37.0  24.941  35.170  221.87  0.0932  0.2785  93.275      24  2222222
    38.0  24.914  35.167  221.05  0.0939  0.2774  93.300      87  2222222
    39.0  24.854  35.168  221.57  0.1005  0.2776  93.296     112  2222222
    40.0  24.767  35.166  223.06  0.0963  0.2783  93.279      31  2222222
    41.0  24.627  35.167  223.34  0.1045  0.2781  93.285      52  2222222
    42.0  24.638  35.164  222.55  0.1052  0.2779  93.290     124  2222222
    43.0  24.556  35.173  223.70  0.1154  0.2781  93.285      41  2222222
    44.0  24.523  35.176  223.25  0.1135  0.2795  93.250     133  2222222
    45.0  24.469  35.180  223.45  0.1134  0.2787  93.270      54  2222222
    46.0  24.396  35.183  224.44  0.1168  0.2789  93.265      23  2222222
    47.0  24.388  35.182  223.70  0.1150  0.2775  93.299      90  2222222
    48.0  24.370  35.181  224.16  0.1209  0.2770  93.309     105  2222222
    49.0  24.301  35.180  224.74  0.1232  0.2773  93.301      38  2222222
    50.0  24.163  35.169  224.43  0.1284  0.2791  93.262     100  2222222
    51.0  24.139  35.164  224.13  0.1385  0.2812  93.212      66  2222222
    52.0  24.078  35.175  224.76  0.1399  0.2813  93.211      35  2222222
    53.0  24.075  35.174  224.40  0.1457  0.2795  93.252     153  2222222
    54.0  24.017  35.173  225.14  0.1399  0.2798  93.245      24  2222222
    55.0  23.999  35.171  224.24  0.1476  0.2791  93.259      27  2222222
    56.0  24.007  35.170  224.41  0.1601  0.2801  93.237     168  2222222
    57.0  23.993  35.168  224.50  0.1514  0.2794  93.253      31  2222222
    58.0  23.969  35.164  223.41  0.1584  0.2798  93.244      33  2222222
    59.0  23.956  35.163  224.57  0.1668  0.2796  93.250     150  2222222
    60.0  23.834  35.149  224.22  0.1626  0.2799  93.242      30  2222222
    61.0  23.685  35.149  223.69  0.1644  0.2829  93.172      32  2222222
    62.0  23.692  35.151  224.08  0.1815  0.2800  93.239     164  2222222
    63.0  23.571  35.152  224.06  0.1800  0.2802  93.235      23  2222222
    64.0  23.564  35.159  224.43  0.1873  0.2807  93.223      56  2222222
    65.0  23.481  35.165  223.62  0.1931  0.2798  93.243     145  2222222
    66.0  23.425  35.171  224.56  0.1861  0.2806  93.226      21  2222222
    67.0  23.497  35.165  224.38  0.1861  0.2795  93.251      58  2222222
    68.0  23.419  35.174  223.89  0.2027  0.2785  93.274     137  2222222
    69.0  23.381  35.179  224.25  0.1927  0.2789  93.265      28  2222222
    70.0  23.410  35.174  224.38  0.2000  0.2784  93.278      58  2222222
    71.0  23.375  35.176  223.89  0.2026  0.2784  93.278     111  2222222
    72.0  23.309  35.181  223.63  0.2071  0.2776  93.297      65  2222222
    73.0  23.246  35.180  223.23  0.1976  0.2782  93.283      17  2222222
    74.0  23.316  35.176  223.73  0.2087  0.2781  93.283     110  2222222
    75.0  23.219  35.181  222.95  0.2198  0.2775  93.299     103  2222222
    76.0  23.200  35.182  222.92  0.2155  0.2783  93.280      31  2222222
    77.0  23.126  35.186  222.97  0.2223  0.2774  93.299      45  2222222
    78.0  23.124  35.186  222.79  0.2286  0.2757  93.339     129  2222222
    79.0  23.083  35.187  221.69  0.2247  0.2746  93.366      49  2222222
    80.0  23.047  35.188  222.22  0.2318  0.2734  93.393     121  2222222
