  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     2.0  26.421  34.925  212.08  0.0936  0.2880  93.055      18  2222222
     3.0  26.422  34.925  211.48  0.0862  0.2915  92.973     152  2222222
     4.0  26.422  34.925  211.45  0.0922  0.2856  93.110     159  2222222
     5.0  26.423  34.925  211.55  0.1098  0.2848  93.129     101  2222222
     6.0  26.423  34.925  210.52  0.0936  0.2866  93.085      38  2222222
     7.0  26.424  34.925  210.61  0.0868  0.2845  93.136      88  2222222
     8.0  26.427  34.925  210.89  0.0910  0.2829  93.173      69  2222222
     9.0  26.428  34.925  210.96  0.0923  0.2821  93.190      99  2222222
    10.0  26.428  34.925  211.39  0.0936  0.2831  93.169      23  2222222
    11.0  26.427  34.925  211.43  0.0854  0.2817  93.200      38  2222222
    12.0  26.427  34.925  211.19  0.0901  0.2819  93.196      90  2222222
    13.0  26.426  34.925  211.08  0.0905  0.2809  93.219      95  2222222
    14.0  26.426  34.925  211.42  0.0903  0.2810  93.216      90  2222222
    15.0  26.427  34.925  211.67  0.0913  0.2812  93.211      29  2222222
    16.0  26.413  34.925  211.78  0.0889  0.2809  93.218      49  2222222
    17.0  26.420  34.925  211.23  0.0891  0.2812  93.211     119  2222222
    18.0  26.420  34.925  211.11  0.0919  0.2811  93.215      41  2222222
    19.0  26.409  34.924  211.17  0.0936  0.2818  93.199      96  2222222
    20.0  26.411  34.924  211.24  0.0936  0.2805  93.229      39  2222222
    21.0  26.404  34.925  210.70  0.0936  0.2817  93.201      82  2222222
    22.0  26.404  34.925  210.78  0.0936  0.2806  93.226      67  2222222
    23.0  26.396  34.925  211.36  0.0895  0.2824  93.184      72  2222222
    24.0  26.376  34.926  211.06  0.0936  0.2834  93.160      48  2222222
    25.0  26.373  34.925  211.56  0.0964  0.2831  93.167      92  2222222
    26.0  26.348  34.927  211.22  0.0945  0.2834  93.160      39  2222222
    27.0  26.344  34.927  211.36  0.0985  0.2837  93.153     115  2222222
    28.0  26.346  34.927  211.35  0.1028  0.2844  93.139      34  2222222
    29.0  26.350  34.927  211.58  0.0936  0.2840  93.147      56  2222222
    30.0  26.343  34.927  211.68  0.1016  0.2846  93.133     130  2222222
    31.0  26.331  34.928  210.66  0.1052  0.2854  93.114      37  2222222
    32.0  26.330  34.927  211.28  0.0975  0.2853  93.117      39  2222222
    33.0  26.328  34.927  211.34  0.1073  0.2857  93.106     111  2222222
    34.0  26.325  34.927  211.46  0.1091  0.2857  93.107      82  2222222
    35.0  26.321  34.927  212.17  0.1052  0.2863  93.093      48  2222222
    36.0  26.319  34.926  211.65  0.1052  0.2860  93.101      66  2222222
    37.0  26.316  34.926  211.51  0.1110  0.2855  93.111      75  2222222
    38.0  26.308  34.926  211.80  0.1078  0.2857  93.107      53  2222222
    39.0  26.290  34.924  212.59  0.1129  0.2855  93.111     118  2222222
    40.0  26.163  34.915  216.53  0.1097  0.2847  93.131      49  2222222
    41.0  25.986  34.906  218.94  0.1052  0.2865  93.090      41  2222222
    42.0  25.742  34.918  219.32  0.1307  0.2922  92.956      84  2222222
    43.0  25.687  34.922  219.20  0.1395  0.2911  92.981      93  2222222
    44.0  25.531  34.930  219.45  0.1370  0.2904  92.997      44  2222222
    45.0  25.490  34.928  220.33  0.1363  0.2895  93.020     129  2222222
    46.0  25.392  34.943  221.75  0.1323  0.2901  93.006      38  2222222
    47.0  25.342  34.949  221.82  0.1395  0.2904  92.999      65  2222222
    48.0  25.283  34.954  221.85  0.1424  0.2960  92.869     123  2222222
    49.0  25.094  34.962  223.32  0.1399  0.2889  93.034      22  2222222
    50.0  25.057  34.964  223.24  0.1399  0.2852  93.118      27  2222222
    51.0  25.053  34.961  222.82  0.1456  0.2848  93.127     152  2222222
    52.0  24.977  34.963  223.03  0.1444  0.2850  93.123      33  2222222
    53.0  24.952  34.964  222.82  0.1567  0.2845  93.135     119  2222222
    54.0  24.908  34.967  223.38  0.1581  0.2841  93.145      35  2222222
    55.0  24.868  34.974  223.32  0.1547  0.2853  93.118      50  2222222
    56.0  24.862  34.973  223.58  0.1666  0.2842  93.141     154  2222222
    57.0  24.799  34.978  223.68  0.1630  0.2837  93.153      29  2222222
    58.0  24.728  34.982  224.00  0.1630  0.2835  93.157      29  2222222
    59.0  24.690  34.982  223.81  0.1829  0.2835  93.159     150  2222222
    60.0  24.618  34.979  223.25  0.1874  0.2836  93.157      34  2222222
    61.0  24.579  34.980  224.48  0.1794  0.2846  93.132      42  2222222
    62.0  24.503  34.984  224.29  0.1935  0.2842  93.142      90  2222222
    63.0  24.442  34.989  223.69  0.1937  0.2819  93.196     104  2222222
    64.0  24.377  34.996  222.56  0.1861  0.2801  93.237      32  2222222
    65.0  24.355  34.995  223.49  0.1861  0.2799  93.241      35  2222222
    66.0  24.349  34.996  222.69  0.2008  0.2799  93.243     132  2222222
    67.0  24.291  35.003  222.76  0.1976  0.2794  93.253      48  2222222
    68.0  24.274  35.005  222.39  0.2173  0.2800  93.241      90  2222222
    69.0  24.259  35.007  222.20  0.2121  0.2799  93.243      68  2222222
    70.0  24.238  35.013  221.89  0.2233  0.2788  93.269      67  2222222
    71.0  24.189  35.026  221.47  0.2196  0.2769  93.312      57  2222222
    72.0  24.178  35.029  221.34  0.2363  0.2762  93.328      84  2222222
    73.0  24.172  35.029  221.41  0.2323  0.2761  93.331      70  2222222
    74.0  24.170  35.029  221.25  0.2431  0.2763  93.327      96  2222222
    75.0  24.063  35.036  218.86  0.2254  0.2756  93.342      44  2222222
    76.0  23.954  35.043  219.93  0.2243  0.2753  93.348      62  2222222
    77.0  23.937  35.043  218.97  0.2513  0.2756  93.341      96  2222222
    78.0  23.900  35.044  219.75  0.2437  0.2741  93.376      51  2222222
    79.0  23.874  35.045  218.85  0.2586  0.2738  93.383      98  2222222
