  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     3.0  25.992  35.385  212.41  0.0981  0.2693  93.489     449  2222222
     4.0  25.991  35.385  212.22  0.0984  0.2700  93.474     273  2222222
     5.0  25.991  35.385  212.11  0.0985  0.2674  93.533     101  2222222
     6.0  25.992  35.385  212.44  0.0932  0.2676  93.529      48  2222222
     7.0  25.992  35.384  211.52  0.0939  0.2672  93.539     110  2222222
     8.0  25.993  35.385  211.56  0.0978  0.2670  93.543     114  2222222
     9.0  25.994  35.385  211.56  0.0929  0.2676  93.529      44  2222222
    10.0  25.994  35.385  211.05  0.0975  0.2721  93.425      60  2222222
    11.0  25.994  35.385  211.30  0.0986  0.2676  93.530      63  2222222
    12.0  25.994  35.385  211.17  0.0968  0.2676  93.529     132  2222222
    13.0  25.992  35.385  211.95  0.0988  0.2677  93.527      29  2222222
    14.0  25.991  35.385  212.32  0.1012  0.2667  93.551      35  2222222
    15.0  25.992  35.385  210.95  0.0935  0.2674  93.534     103  2222222
    16.0  25.993  35.385  211.95  0.0935  0.2667  93.551      53  2222222
    17.0  25.994  35.385  210.86  0.0943  0.2669  93.545      52  2222222
    18.0  25.996  35.385  211.75  0.0961  0.2788  93.271      88  2222222
    19.0  25.996  35.385  212.04  0.0931  0.2940  92.921      66  2222222
    20.0  25.996  35.385  211.33  0.0925  0.2671  93.541      20  2222222
    21.0  25.996  35.385  211.26  0.1034  0.2673  93.536      97  2222222
    22.0  25.996  35.385  211.49  0.0961  0.2677  93.528      70  2222222
    23.0  25.995  35.385  211.52  0.0936  0.2670  93.544      26  2222222
    24.0  25.994  35.385  211.99  0.0936  0.2669  93.545      37  2222222
    25.0  25.995  35.385  211.93  0.0997  0.2673  93.537     140  2222222
    26.0  25.994  35.385  211.42  0.1012  0.2683  93.514      38  2222222
    27.0  25.992  35.384  211.65  0.1006  0.2666  93.554      41  2222222
    28.0  25.989  35.384  211.55  0.0979  0.2665  93.555     126  2222222
    29.0  25.979  35.383  211.51  0.1007  0.2677  93.527      39  2222222
    30.0  25.971  35.382  212.16  0.1011  0.2671  93.541      68  2222222
    31.0  25.969  35.382  212.58  0.1051  0.2675  93.532      87  2222222
    32.0  25.965  35.381  212.48  0.1052  0.2682  93.515      44  2222222
    33.0  25.946  35.379  212.82  0.1022  0.2683  93.514     102  2222222
    34.0  25.710  35.352  218.13  0.1110  0.2706  93.458      58  2222222
    35.0  25.244  35.315  222.07  0.1245  0.2752  93.351      69  2222222
    36.0  25.060  35.310  222.47  0.1390  0.2759  93.334      54  2222222
    37.0  24.930  35.303  223.49  0.1399  0.2761  93.330      97  2222222
    38.0  24.859  35.297  223.28  0.1397  0.2757  93.339      56  2222222
    39.0  24.686  35.290  225.01  0.1359  0.2758  93.336      78  2222222
    40.0  24.652  35.287  225.36  0.1441  0.2768  93.313      67  2222222
    41.0  24.553  35.281  226.06  0.1399  0.2763  93.327      55  2222222
    42.0  24.470  35.278  226.53  0.1439  0.2774  93.299      70  2222222
    43.0  24.294  35.265  227.14  0.1467  0.2785  93.274      75  2222222
    44.0  24.244  35.264  227.88  0.1536  0.2785  93.274     103  2222222
    45.0  24.112  35.258  228.99  0.1514  0.2789  93.265      26  2222222
    46.0  24.020  35.255  229.51  0.1514  0.2790  93.263      32  2222222
    47.0  24.031  35.255  229.04  0.1569  0.2795  93.252     159  2222222
    48.0  23.915  35.248  230.71  0.1630  0.2798  93.245      48  2222222
    49.0  23.481  35.225  233.80  0.1684  0.2802  93.235      56  2222222
    50.0  23.221  35.219  233.70  0.1677  0.2795  93.252      49  2222222
    51.0  23.116  35.212  234.01  0.1676  0.2827  93.176      83  2222222
    52.0  23.064  35.207  234.28  0.1771  0.2816  93.204     115  2222222
    53.0  23.002  35.203  234.64  0.1745  0.2833  93.163      73  2222222
    54.0  22.880  35.195  235.83  0.1656  0.2846  93.133      30  2222222
    55.0  22.709  35.186  236.93  0.1630  0.2811  93.213      37  2222222
    56.0  22.606  35.178  236.69  0.1749  0.2820  93.193      88  2222222
    57.0  22.454  35.173  237.17  0.1837  0.2802  93.235     134  2222222
    58.0  22.370  35.170  238.33  0.1745  0.2803  93.233      57  2222222
    59.0  22.254  35.162  238.02  0.1741  0.2805  93.229      31  2222222
    60.0  22.091  35.155  238.56  0.1741  0.2814  93.208      31  2222222
    61.0  22.042  35.154  238.59  0.1870  0.2808  93.222     178  2222222
    62.0  21.925  35.147  240.80  0.1773  0.2810  93.215      34  2222222
    63.0  21.737  35.137  241.20  0.1771  0.2814  93.208      32  2222222
    64.0  21.432  35.123  241.91  0.1856  0.2802  93.235      48  2222222
    65.0  21.198  35.115  241.67  0.1966  0.2810  93.216     104  2222222
    66.0  20.811  35.096  242.32  0.1997  0.2811  93.213     113  2222222
    67.0  20.762  35.091  242.72  0.2001  0.2822  93.188      46  2222222
    68.0  20.636  35.090  242.52  0.2006  0.2813  93.208      50  2222222
    69.0  20.555  35.079  242.21  0.1987  0.2820  93.193      71  2222222
    70.0  20.442  35.075  241.85  0.1983  0.2818  93.198      63  2222222
    71.0  20.413  35.073  242.27  0.1999  0.2810  93.216     140  2222222
    72.0  20.394  35.071  242.70  0.2009  0.2816  93.201      35  2222222
    73.0  20.364  35.069  242.42  0.1990  0.2812  93.211      32  2222222
    74.0  20.319  35.066  242.36  0.2020  0.2804  93.231      49  2222222
    75.0  20.195  35.061  242.13  0.2083  0.2807  93.223     151  2222222
    76.0  20.061  35.055  242.18  0.2076  0.2806  93.226      46  2222222
    77.0  19.856  35.043  242.49  0.2129  0.2806  93.225      43  2222222
    78.0  19.738  35.035  242.46  0.2187  0.2801  93.237      96  2222222
    79.0  19.669  35.030  243.71  0.2191  0.2803  93.232      50  2222222
    80.0  19.542  35.021  243.11  0.2277  0.2805  93.228     125  2222222
