  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     2.0  25.927  35.253  212.51  0.0706  0.2722  93.422      23  2222222
     3.0  25.924  35.253  212.29  0.0699  0.2726  93.413      35  2222222
     4.0  25.924  35.253  212.30  0.0725  0.2704  93.463     142  2222222
     5.0  25.927  35.253  211.51  0.0706  0.2707  93.455      29  2222222
     6.0  25.927  35.253  212.17  0.0706  0.2713  93.441      38  2222222
     7.0  25.927  35.253  212.36  0.0703  0.2706  93.458      44  2222222
     8.0  25.923  35.253  211.66  0.0721  0.2702  93.467      90  2222222
     9.0  25.927  35.253  212.05  0.0788  0.2710  93.448      87  2222222
    10.0  25.936  35.254  211.84  0.0775  0.2713  93.441      40  2222222
    11.0  25.937  35.254  211.63  0.0747  0.2708  93.454      61  2222222
    12.0  25.937  35.254  211.67  0.0843  0.2726  93.412     100  2222222
    13.0  25.932  35.254  211.53  0.0762  0.2706  93.459      45  2222222
    14.0  25.919  35.253  211.90  0.0720  0.2708  93.453      63  2222222
    15.0  25.924  35.253  211.90  0.0796  0.2706  93.459     119  2222222
    16.0  25.882  35.250  212.84  0.0821  0.2713  93.441      41  2222222
    17.0  25.877  35.250  212.48  0.0821  0.2714  93.441      40  2222222
    18.0  25.874  35.250  212.80  0.0821  0.2717  93.433      88  2222222
    19.0  25.854  35.248  212.42  0.0818  0.2725  93.414      80  2222222
    20.0  25.830  35.246  213.21  0.0889  0.2733  93.395      39  2222222
    21.0  25.812  35.244  213.26  0.0821  0.2713  93.441      50  2222222
    22.0  25.810  35.243  212.85  0.0863  0.2713  93.441     120  2222222
    23.0  25.806  35.243  212.36  0.0888  0.2704  93.463      53  2222222
    24.0  25.800  35.241  213.37  0.0896  0.2706  93.458      37  2222222
    25.0  25.797  35.240  212.66  0.0870  0.2709  93.451      52  2222222
    26.0  25.798  35.240  212.68  0.0821  0.2705  93.460     137  2222222
    27.0  25.795  35.239  213.21  0.0821  0.2711  93.446      23  2222222
    28.0  25.788  35.238  213.23  0.0821  0.2712  93.444      31  2222222
    29.0  25.782  35.237  212.97  0.0880  0.2712  93.445     125  2222222
    30.0  25.766  35.234  213.43  0.0910  0.2706  93.458      43  2222222
    31.0  25.751  35.232  213.31  0.0916  0.2705  93.460     102  2222222
    32.0  25.722  35.229  214.72  0.0847  0.2703  93.465      59  2222222
    33.0  25.545  35.211  218.94  0.0910  0.2717  93.434      39  2222222
    34.0  25.183  35.183  222.74  0.0986  0.2745  93.368      35  2222222
    35.0  25.023  35.177  222.73  0.1030  0.2773  93.303     140  2222222
    36.0  24.906  35.177  222.73  0.1052  0.2766  93.318      38  2222222
    37.0  24.810  35.183  222.82  0.1052  0.2764  93.323      41  2222222
    38.0  24.785  35.182  223.41  0.1106  0.2749  93.358     105  2222222
    39.0  24.625  35.187  224.47  0.1125  0.2756  93.343      54  2222222
    40.0  24.481  35.191  224.56  0.1129  0.2754  93.347      60  2222222
    41.0  24.443  35.191  224.19  0.1105  0.2746  93.366     104  2222222
    42.0  24.393  35.190  224.61  0.1166  0.2747  93.363      50  2222222
    43.0  24.362  35.190  225.12  0.1168  0.2763  93.325      36  2222222
    44.0  24.308  35.193  225.13  0.1165  0.2760  93.333     118  2222222
    45.0  24.219  35.199  224.91  0.1277  0.2763  93.327      71  2222222
    46.0  24.130  35.206  225.40  0.1284  0.2764  93.323      34  2222222
    47.0  24.080  35.204  225.80  0.1284  0.2763  93.325      65  2222222
    48.0  24.038  35.206  225.57  0.1284  0.2766  93.318      82  2222222
    49.0  23.942  35.212  225.88  0.1355  0.2767  93.316      66  2222222
    50.0  23.802  35.214  226.14  0.1414  0.2770  93.310      75  2222222
    51.0  23.538  35.217  227.18  0.1366  0.2776  93.297      49  2222222
    52.0  23.490  35.216  227.15  0.1469  0.2770  93.309      63  2222222
    53.0  23.475  35.215  226.85  0.1437  0.2771  93.308      77  2222222
    54.0  23.461  35.215  227.02  0.1472  0.2769  93.313      70  2222222
    55.0  23.444  35.216  227.31  0.1514  0.2767  93.316      45  2222222
    56.0  23.371  35.219  227.29  0.1523  0.2761  93.330      78  2222222
    57.0  23.179  35.223  226.48  0.1595  0.2757  93.339      86  2222222
    58.0  23.076  35.226  226.24  0.1632  0.2761  93.331      63  2222222
    59.0  23.042  35.228  225.84  0.1686  0.2820  93.194      45  2222222
    60.0  23.021  35.228  225.60  0.1630  0.2767  93.316      74  2222222
    61.0  23.011  35.227  226.32  0.1630  0.2758  93.338      88  2222222
    62.0  22.988  35.227  226.34  0.1630  0.2744  93.371      55  2222222
    63.0  22.952  35.228  225.96  0.1628  0.2760  93.332      62  2222222
    64.0  22.849  35.229  224.84  0.1694  0.2747  93.364      70  2222222
    65.0  22.623  35.235  224.18  0.1668  0.2732  93.398      80  2222222
    66.0  22.563  35.235  224.29  0.1687  0.2732  93.399      56  2222222
    67.0  22.552  35.234  223.87  0.1745  0.2742  93.375      58  2222222
    68.0  22.551  35.233  223.55  0.1784  0.2736  93.389      75  2222222
    69.0  22.517  35.234  224.23  0.1771  0.2740  93.379      63  2222222
    70.0  22.452  35.234  224.08  0.1861  0.2727  93.410      77  2222222
    71.0  22.397  35.236  224.07  0.1952  0.2732  93.398      54  2222222
    72.0  22.269  35.240  224.68  0.1963  0.2717  93.433      63  2222222
    73.0  22.218  35.240  224.49  0.1937  0.2713  93.442      62  2222222
    74.0  22.204  35.239  223.98  0.1921  0.2708  93.454     109  2222222
    75.0  22.159  35.235  221.68  0.1911  0.2703  93.466      48  2222222
    76.0  22.005  35.224  220.46  0.1886  0.2719  93.428      36  2222222
    77.0  21.946  35.218  220.94  0.2088  0.2715  93.438     119  2222222
    78.0  21.914  35.214  220.86  0.2152  0.2726  93.413      53  2222222
    79.0  21.836  35.209  219.61  0.2186  0.2716  93.436      38  2222222
