  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     1.0  25.973  35.212  213.80  0.0906  0.6216  86.005     223  2222233
     2.0  25.974  35.221  213.41  0.0922  0.4957  88.607     662  2222233
     3.0  25.974  35.218  213.59  0.0854  0.3184  92.365     229  2222233
     4.0  25.974  35.222  213.44  0.0879  0.2845  93.136     171  2222233
     5.0  25.973  35.222  211.84  0.0888  0.2767  93.317      57  2222222
     6.0  25.972  35.223  212.02  0.0821  0.2771  93.307      21  2222222
     7.0  25.973  35.222  211.97  0.0901  0.2752  93.351     146  2222222
     8.0  25.977  35.223  212.61  0.0904  0.2758  93.338      29  2222222
     9.0  25.976  35.223  212.51  0.0898  0.2742  93.373     119  2222222
    10.0  25.976  35.223  212.65  0.0856  0.2747  93.362      56  2222222
    11.0  25.977  35.223  213.04  0.0846  0.2736  93.388      33  2222222
    12.0  25.976  35.223  213.06  0.0860  0.2744  93.368      39  2222222
    13.0  25.974  35.223  212.64  0.0911  0.2737  93.385     113  2222222
    14.0  25.973  35.223  212.86  0.0864  0.2740  93.379      43  2222222
    15.0  25.973  35.223  213.47  0.0858  0.2734  93.394      38  2222222
    16.0  25.973  35.223  213.07  0.0936  0.2740  93.381      39  2222222
    17.0  25.973  35.223  212.94  0.0868  0.2739  93.383     131  2222222
    18.0  25.973  35.223  213.10  0.0850  0.2758  93.338      35  2222222
    19.0  25.974  35.223  213.20  0.0878  0.2757  93.340      43  2222222
    20.0  25.968  35.223  212.59  0.0847  0.2737  93.387     111  2222222
    21.0  25.967  35.223  212.75  0.0875  0.2736  93.388      51  2222222
    22.0  25.957  35.224  213.43  0.0901  0.2748  93.361      68  2222222
    23.0  25.959  35.224  213.21  0.0912  0.2738  93.383      37  2222222
    24.0  25.959  35.224  213.21  0.0943  0.2742  93.375     128  2222222
    25.0  25.949  35.224  213.52  0.0865  0.2744  93.369      42  2222222
    26.0  25.933  35.224  212.66  0.0880  0.2750  93.355      49  2222222
    27.0  25.913  35.224  213.06  0.0933  0.2745  93.367     116  2222222
    28.0  25.845  35.222  214.36  0.0936  0.2748  93.362      57  2222222
    29.0  25.809  35.219  214.64  0.0933  0.2757  93.340      34  2222222
    30.0  25.751  35.213  214.95  0.0998  0.2760  93.333     138  2222222
    31.0  25.632  35.206  217.10  0.0936  0.2757  93.340      27  2222222
    32.0  25.551  35.204  217.29  0.0936  0.2753  93.350      27  2222222
    33.0  25.511  35.202  217.15  0.1064  0.2757  93.340     121  2222222
    34.0  25.434  35.200  218.13  0.1052  0.2756  93.342      84  2222222
    35.0  25.349  35.196  219.17  0.1052  0.2771  93.306      34  2222222
    36.0  25.302  35.194  219.97  0.1052  0.2792  93.259      41  2222222
    37.0  25.270  35.191  220.16  0.1110  0.2789  93.265     129  2222222
    38.0  25.183  35.186  221.38  0.1130  0.2797  93.247      52  2222222
    39.0  25.142  35.183  220.45  0.1145  0.2815  93.205      47  2222222
    40.0  25.090  35.180  222.20  0.1215  0.2831  93.167     123  2222222
    41.0  25.015  35.180  223.07  0.1249  0.2839  93.150      56  2222222
    42.0  24.824  35.182  223.71  0.1205  0.2825  93.182      34  2222222
    43.0  24.656  35.208  223.63  0.1220  0.2799  93.242     109  2222222
    44.0  24.614  35.213  223.64  0.1168  0.2787  93.271      57  2222222
    45.0  24.595  35.218  224.03  0.1167  0.2775  93.299      88  2222222
    46.0  24.553  35.224  222.90  0.1210  0.2793  93.257      47  2222222
    47.0  24.526  35.223  223.61  0.1276  0.2772  93.305     104  2222222
    48.0  24.489  35.220  224.74  0.1266  0.2771  93.307      45  2222222
    49.0  24.432  35.212  223.55  0.1168  0.2769  93.312      42  2222222
    50.0  24.409  35.209  224.23  0.1300  0.2768  93.315     140  2222222
    51.0  24.351  35.211  224.59  0.1307  0.2780  93.288      44  2222222
    52.0  24.283  35.221  224.49  0.1284  0.2764  93.325      36  2222222
    53.0  24.215  35.227  224.23  0.1352  0.2792  93.258     145  2222222
    54.0  24.172  35.228  224.57  0.1399  0.2789  93.265      44  2222222
    55.0  24.141  35.227  224.83  0.1355  0.2782  93.282      32  2222222
    56.0  24.101  35.228  224.51  0.1390  0.2763  93.327     118  2222222
    57.0  24.081  35.227  224.90  0.1430  0.2759  93.335      67  2222222
    58.0  23.940  35.219  225.79  0.1399  0.2762  93.329      38  2222222
    59.0  23.898  35.221  225.57  0.1396  0.2775  93.297      48  2222222
    60.0  23.882  35.221  225.76  0.1424  0.2762  93.328     123  2222222
    61.0  23.841  35.218  226.27  0.1512  0.2766  93.319      70  2222222
    62.0  23.794  35.213  226.94  0.1514  0.2763  93.324      49  2222222
    63.0  23.727  35.213  226.42  0.1563  0.2789  93.265      60  2222222
    64.0  23.680  35.226  225.87  0.1619  0.2771  93.307      98  2222222
    65.0  23.678  35.241  225.35  0.1532  0.2754  93.346      58  2222222
    66.0  23.635  35.242  225.31  0.1547  0.2751  93.354      69  2222222
    67.0  23.623  35.242  226.35  0.1711  0.2777  93.294      89  2222222
    68.0  23.591  35.238  226.31  0.1737  0.2781  93.285      40  2222222
    69.0  23.509  35.227  226.33  0.1631  0.2767  93.316     107  2222222
    70.0  23.449  35.223  226.55  0.1703  0.2767  93.317      74  2222222
    71.0  23.293  35.215  225.47  0.1635  0.2770  93.308      41  2222222
    72.0  23.223  35.213  225.63  0.1692  0.2774  93.301      46  2222222
    73.0  23.191  35.214  225.86  0.1798  0.2768  93.314     111  2222222
    74.0  23.066  35.228  227.18  0.1759  0.2774  93.301      65  2222222
    75.0  23.038  35.228  226.99  0.1829  0.2772  93.305      74  2222222
    76.0  23.030  35.228  226.94  0.1790  0.2761  93.330      55  2222222
    77.0  23.020  35.228  226.39  0.1777  0.2767  93.316      61  2222222
    78.0  23.010  35.228  226.91  0.1926  0.2768  93.313      89  2222222
