  CTDPRS  CTDTMP  CTDSAL  CTDOXY  CHLPIG BEAM.AT   XMISS  NUMBER   QUALT1
    DBAR  ITS-90  PSS-78  uMOL/L    uG/L     1/M       %     OBS.       *
 ******* ******* ******* ******* ******* ******* *******                *
     2.0  26.203  35.199  212.18  0.0934  0.3457  91.738      37  2222233
     3.0  26.203  35.199  212.10  0.0942  0.3151  92.435     178  2222233
     4.0  26.204  35.199  211.80  0.0956  0.2849  93.125     231  2222233
     5.0  26.206  35.199  211.90  0.0951  0.2909  92.988     180  2222233
     6.0  26.206  35.199  211.04  0.0964  0.2841  93.145      71  2222222
     7.0  26.205  35.199  210.32  0.0882  0.2858  93.105      40  2222222
     8.0  26.206  35.199  210.79  0.0959  0.2849  93.127     124  2222222
     9.0  26.205  35.199  210.69  0.0936  0.2838  93.151      29  2222222
    10.0  26.205  35.199  210.85  0.0965  0.2844  93.139      61  2222222
    11.0  26.208  35.200  210.92  0.0922  0.2845  93.135     138  2222222
    12.0  26.208  35.200  211.34  0.0936  0.2844  93.139      30  2222222
    13.0  26.209  35.200  211.30  0.0991  0.2838  93.152      38  2222222
    14.0  26.208  35.200  211.13  0.0941  0.2844  93.137     118  2222222
    15.0  26.208  35.200  211.15  0.0934  0.2849  93.126      48  2222222
    16.0  26.209  35.200  211.07  0.0975  0.2841  93.145      71  2222222
    17.0  26.208  35.200  210.78  0.0963  0.2843  93.140     110  2222222
    18.0  26.204  35.200  211.16  0.0892  0.2842  93.142      26  2222222
    19.0  26.201  35.201  211.36  0.0983  0.2843  93.140      94  2222222
    20.0  26.198  35.201  210.84  0.0998  0.2839  93.149      84  2222222
    21.0  26.194  35.201  210.69  0.0992  0.2848  93.128      33  2222222
    22.0  26.183  35.201  211.32  0.0980  0.2843  93.139     124  2222222
    23.0  26.179  35.201  211.42  0.0966  0.2847  93.130      48  2222222
    24.0  26.187  35.201  210.74  0.0936  0.2844  93.139      36  2222222
    25.0  26.167  35.202  211.51  0.0936  0.2836  93.155     134  2222222
    26.0  26.137  35.203  212.95  0.0936  0.2834  93.161      40  2222222
    27.0  26.075  35.205  212.93  0.0936  0.2829  93.171      31  2222222
    28.0  26.019  35.206  213.20  0.0953  0.2829  93.173     156  2222222
    29.0  25.991  35.206  213.12  0.1003  0.2830  93.171      45  2222222
    30.0  25.965  35.206  213.73  0.0936  0.2823  93.186      29  2222222
    31.0  25.955  35.206  213.69  0.0930  0.2824  93.184      37  2222222
    32.0  25.937  35.206  214.79  0.0974  0.2816  93.201     154  2222222
    33.0  25.557  35.213  219.89  0.0982  0.2832  93.167      28  2222222
    34.0  25.411  35.221  219.68  0.0988  0.2875  93.066      29  2222222
    35.0  25.329  35.222  219.26  0.1082  0.2879  93.057     148  2222222
    36.0  25.194  35.220  219.79  0.1047  0.2868  93.082      26  2222222
    37.0  25.069  35.221  221.29  0.1113  0.2888  93.035      32  2222222
    38.0  24.981  35.220  220.98  0.1168  0.2880  93.054     134  2222222
    39.0  24.910  35.220  222.67  0.1168  0.2870  93.077      34  2222222
    40.0  24.839  35.221  223.51  0.1168  0.2866  93.086      33  2222222
    41.0  24.740  35.225  223.30  0.1166  0.2874  93.066      55  2222222
    42.0  24.709  35.225  224.06  0.1299  0.2877  93.060     127  2222222
    43.0  24.546  35.230  226.78  0.1284  0.2893  93.023      30  2222222
    44.0  24.377  35.232  226.64  0.1313  0.2887  93.038      39  2222222
    45.0  24.245  35.231  227.13  0.1398  0.2893  93.023      93  2222222
    46.0  24.032  35.232  227.86  0.1399  0.2898  93.012      43  2222222
    47.0  24.005  35.230  227.93  0.1399  0.2898  93.012      40  2222222
    48.0  24.006  35.229  227.63  0.1448  0.2898  93.012     119  2222222
    49.0  23.989  35.227  227.52  0.1399  0.2898  93.012      47  2222222
    50.0  23.914  35.227  227.93  0.1399  0.2903  93.000      29  2222222
    51.0  23.847  35.227  226.79  0.1419  0.2892  93.026      63  2222222
    52.0  23.843  35.225  228.30  0.1468  0.2890  93.030      62  2222222
    53.0  23.713  35.221  226.81  0.1477  0.2888  93.036      43  2222222
    54.0  23.358  35.221  226.74  0.1427  0.2886  93.040      82  2222222
    55.0  23.312  35.218  225.72  0.1420  0.2893  93.024      62  2222222
    56.0  23.279  35.218  226.97  0.1474  0.2889  93.034      31  2222222
    57.0  23.248  35.217  226.51  0.1459  0.2887  93.037      31  2222222
    58.0  23.124  35.221  226.20  0.1514  0.2880  93.053      43  2222222
    59.0  23.086  35.221  227.00  0.1514  0.2874  93.068     115  2222222
    60.0  22.966  35.227  227.27  0.1426  0.2880  93.054      34  2222222
    61.0  22.911  35.230  227.07  0.1563  0.2879  93.056      38  2222222
    62.0  22.881  35.231  226.96  0.1559  0.2887  93.037      44  2222222
    63.0  22.874  35.229  227.21  0.1597  0.2878  93.059      94  2222222
    64.0  22.864  35.230  227.25  0.1598  0.2884  93.046      32  2222222
    65.0  22.856  35.229  227.67  0.1514  0.2877  93.059      32  2222222
    66.0  22.851  35.229  226.60  0.1597  0.2875  93.065      38  2222222
    67.0  22.853  35.227  226.95  0.1662  0.2875  93.065     144  2222222
    68.0  22.838  35.225  226.49  0.1595  0.2867  93.085      20  2222222
    69.0  22.780  35.226  226.11  0.1514  0.2865  93.089      18  2222222
    70.0  22.743  35.227  226.12  0.1514  0.2866  93.087      19  2222222
    71.0  22.713  35.226  226.16  0.1543  0.2853  93.117      36  2222222
    72.0  22.712  35.224  226.19  0.1651  0.2853  93.116     135  2222222
    73.0  22.692  35.222  225.68  0.1549  0.2850  93.122      30  2222222
    74.0  22.686  35.220  225.08  0.1514  0.2841  93.145      26  2222222
    75.0  22.674  35.218  225.66  0.1588  0.2839  93.149      83  2222222
    76.0  22.596  35.215  224.72  0.1618  0.2844  93.138      52  2222222
    77.0  22.450  35.216  223.29  0.1514  0.2840  93.146      29  2222222
    78.0  22.357  35.220  223.49  0.1557  0.2836  93.157      30  2222222
    79.0  22.313  35.220  223.63  0.1733  0.2829  93.172      97  2222222
